ID	weight_g
F2_2	38
F2_3	33.5
F2_14	33.9
F2_15	44.3
F2_19	32.9
F2_20	44.8
F2_23	36.9
F2_24	39.5
F2_26	42.5
F2_37	25.7
F2_42	39.4
F2_43	35.3
F2_45	45.8
F2_46	26.1
F2_47	23.9
F2_48	27.5
F2_51	37.9
F2_52	38.5
F2_54	46.4
F2_63	43.2
F2_65	40.4
F2_66	38.9
F2_68	32
F2_69	34.9
F2_70	23.9
F2_71	40.9
F2_72	30.9
F2_78	37.1
F2_79	38.7
F2_80	42.7
F2_81	33.7
F2_83	39
F2_86	34.8
F2_87	32.5
F2_88	46
F2_89	28.3
F2_107	43.6
F2_108	40.6
F2_109	43.6
F2_110	37.1
F2_111	33.8
F2_112	26.8
F2_117	38
F2_119	40.3
F2_125	44.1
F2_126	43.1
F2_127	33.4
F2_141	36
F2_142	24.5
F2_143	43.1
F2_144	NA
F2_145	NA
F2_154	42.9
F2_155	31.8
F2_156	40.9
F2_157	22.2
F2_162	44.6
F2_163	53.1
F2_164	52.7
F2_165	54.1
F2_166	32.1
F2_167	29.4
F2_169	33.9
F2_180	41.8
F2_181	31.2
F2_182	36
F2_187	40.9
F2_188	31.5
F2_189	36.4
F2_190	41.4
F2_191	40.9
F2_192	41.4
F2_194	38
F2_195	25.3
F2_200	45.6
F2_201	50.1
F2_212	35.4
F2_213	39.6
F2_214	31
F2_215	46.3
F2_222	NA
F2_223	36.2
F2_224	37.3
F2_225	34.1
F2_226	29
F2_227	36
F2_228	42.8
F2_241	36.7
F2_242	38.9
F2_243	43.9
F2_244	32.8
F2_245	42.7
F2_247	40.9
F2_248	30.7
F2_261	39.6
F2_263	36
F2_264	41.6
F2_270	45.2
F2_271	42.3
F2_272	39.6
F2_278	44.4
F2_287	43.9
F2_288	37.7
F2_289	37.2
F2_290	36.9
F2_291	48.5
F2_296	38.8
F2_298	33.4
F2_299	40
F2_300	41.1
F2_302	44
F2_303	41.9
F2_304	37.6
F2_305	34.1
F2_306	42.9
F2_307	35.3
F2_308	40.5
F2_309	40.7
F2_310	39.5
F2_311	33.6
F2_312	39.4
F2_320	39.2
F2_321	45.3
F2_323	43
F2_324	38.3
F2_325	40.8
F2_326	32.4
F2_327	40.5
F2_328	36.1
F2_329	34
F2_330	34.4
F2_332	35.3
F2_355	40.9
F2_357	45.7
