ID	geneID
HALLMARK_P53_PATHWAY	CDKN2B
HALLMARK_P53_PATHWAY	HSPA4L
HALLMARK_P53_PATHWAY	SDC1
HALLMARK_P53_PATHWAY	HMOX1
HALLMARK_P53_PATHWAY	RRAD
HALLMARK_P53_PATHWAY	ZNF365
HALLMARK_P53_PATHWAY	SOCS1
HALLMARK_P53_PATHWAY	JAG2
HALLMARK_P53_PATHWAY	TRIB3
HALLMARK_P53_PATHWAY	TNFSF9
HALLMARK_P53_PATHWAY	JUN
HALLMARK_P53_PATHWAY	RAP2B
HALLMARK_P53_PATHWAY	IER3
HALLMARK_P53_PATHWAY	DDIT3
HALLMARK_P53_PATHWAY	LIF
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	CXCL12
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MEST
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	SDC1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	MXRA5
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	SGCD
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	TNFRSF11B
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	VEGFA
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	RGS4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	CADM1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	JUN
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	CDH6
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	VCAM1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	COL1A1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	ADAM12
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PTPRE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MAP3K8
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KLF9
HALLMARK_TNFA_SIGNALING_VIA_NFKB	GCH1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CEBPD
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NFIL3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DNAJB4
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CFLAR
HALLMARK_TNFA_SIGNALING_VIA_NFKB	GADD45B
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PDLIM5
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SAT1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CYR61
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TSC22D1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NR4A1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KLF6
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DUSP5
HALLMARK_TNFA_SIGNALING_VIA_NFKB	RHOB
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ATF3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MAFF
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PER1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	GFPT2
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PTX3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DUSP1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	RCAN1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NR4A3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IRS2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	TAGLN
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	SAT1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	FBN2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	COL7A1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	LAMA2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	THBS1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	RHOB
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	PTX3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	COL4A1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	ANPEP
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	FSTL3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	CYR61
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	COL11A1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	NNMT
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	LAMA3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	FZD8
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	ACTA2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	GADD45B
HALLMARK_HYPOXIA	GCNT2
HALLMARK_HYPOXIA	IRS2
HALLMARK_HYPOXIA	MT1E
HALLMARK_HYPOXIA	FOXO3
HALLMARK_HYPOXIA	SAP30
HALLMARK_HYPOXIA	KLF6
HALLMARK_HYPOXIA	GLRX
HALLMARK_HYPOXIA	MAFF
