ID	Type
HALLMARK_P53_PATHWAY	Pathway
CDKN2B	Gene
HSPA4L	Gene
SDC1	Gene
HMOX1	Gene
RRAD	Gene
ZNF365	Gene
SOCS1	Gene
JAG2	Gene
TRIB3	Gene
TNFSF9	Gene
JUN	Gene
RAP2B	Gene
IER3	Gene
DDIT3	Gene
LIF	Gene
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Pathway
CXCL12	Gene
MEST	Gene
SDC1	Gene
MXRA5	Gene
SGCD	Gene
TNFRSF11B	Gene
VEGFA	Gene
RGS4	Gene
CADM1	Gene
JUN	Gene
CDH6	Gene
VCAM1	Gene
COL1A1	Gene
ADAM12	Gene
HALLMARK_TNFA_SIGNALING_VIA_NFKB	Pathway
PTPRE	Gene
MAP3K8	Gene
KLF9	Gene
GCH1	Gene
CEBPD	Gene
NFIL3	Gene
DNAJB4	Gene
CFLAR	Gene
GADD45B	Gene
PDLIM5	Gene
SAT1	Gene
CYR61	Gene
TSC22D1	Gene
NR4A1	Gene
KLF6	Gene
DUSP5	Gene
RHOB	Gene
ATF3	Gene
MAFF	Gene
PER1	Gene
GFPT2	Gene
PTX3	Gene
DUSP1	Gene
RCAN1	Gene
NR4A3	Gene
IRS2	Gene
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Pathway
TAGLN	Gene
SAT1	Gene
FBN2	Gene
COL7A1	Gene
LAMA2	Gene
THBS1	Gene
RHOB	Gene
PTX3	Gene
COL4A1	Gene
ANPEP	Gene
FSTL3	Gene
CYR61	Gene
COL11A1	Gene
NNMT	Gene
LAMA3	Gene
FZD8	Gene
ACTA2	Gene
GADD45B	Gene
HALLMARK_HYPOXIA	Pathway
GCNT2	Gene
IRS2	Gene
MT1E	Gene
FOXO3	Gene
SAP30	Gene
KLF6	Gene
GLRX	Gene
MAFF	Gene
UGP2	Gene
CITED2	Gene
NFIL3	Gene
CYR61	Gene
DUSP1	Gene
ATF3	Gene
MT2A	Gene
STC1	Gene
ERRFI1	Gene
HALLMARK_P53_PATHWAY	Pathway
ALOX15B	Gene
DCXR	Gene
FOXO3	Gene
SAT1	Gene
TSC22D1	Gene
CCND3	Gene
INHBB	Gene
TM4SF1	Gene
ATF3	Gene
CD82	Gene
PDGFA	Gene
STOM	Gene
SLC19A2	Gene
ZBTB16	Gene
PTPRE	Gene
ABAT	Gene
HALLMARK_UV_RESPONSE_DN	Pathway
ANXA4	Gene
TGFBR2	Gene
PDLIM5	Gene
AMPH	Gene
CITED2	Gene
CYR61	Gene
COL11A1	Gene
DDAH1	Gene
PPARG	Gene
DUSP1	Gene
APBB2	Gene
MT1E	Gene
