Source	Target	Correlation
MMT00032331	MMT00007700	0.182702985410528
MMT00032331	MMT00018029	0.189478252233415
MMT00032331	MMT00022101	0.166027572199443
MMT00032331	MMT00035545	0.12460664957415
MMT00032331	MMT00060232	0.169606244174954
MMT00032331	MMT00009506	0.108988204384162
MMT00032331	MMT00022878	0.134696448393877
MMT00032331	MMT00046920	0.153410944033845
MMT00032331	MMT00071535	0.0926661389151503
MMT00032331	MMT00006408	0.144161006175217
MMT00032331	MMT00068222	0.143600895178538
MMT00032331	MMT00053523	0.140240622305303
MMT00032331	MMT00048501	0.146543130317311
MMT00032331	MMT00054501	0.122936454999221
MMT00032331	MMT00030469	0.157644116546538
MMT00032331	MMT00046250	0.13396556106087
MMT00032331	MMT00009011	0.115191703792135
MMT00032331	MMT00012566	0.157324616720154
MMT00032331	MMT00054225	0.115528756794716
MMT00007700	MMT00018029	0.217596964202839
MMT00007700	MMT00022101	0.188159770544167
MMT00007700	MMT00035545	0.137177168516537
MMT00007700	MMT00060232	0.153539912996995
MMT00007700	MMT00009506	0.114806749159725
MMT00007700	MMT00022878	0.112356980275976
MMT00007700	MMT00046920	0.153719406530968
MMT00007700	MMT00071535	0.101308473910608
MMT00007700	MMT00006408	0.161461043401407
MMT00007700	MMT00068222	0.171983690766193
MMT00007700	MMT00053523	0.156065837080451
MMT00007700	MMT00048501	0.155038185030915
MMT00007700	MMT00054501	0.151792181801389
MMT00007700	MMT00030469	0.177895816155829
MMT00007700	MMT00046250	0.165092410626318
MMT00007700	MMT00009011	0.116745432215682
MMT00007700	MMT00012566	0.13497497136245
MMT00007700	MMT00054225	0.113547645381604
MMT00018029	MMT00022101	0.19740102532227
MMT00018029	MMT00035545	0.162288347442669
MMT00018029	MMT00060232	0.155817164978134
MMT00018029	MMT00009506	0.131206530707433
MMT00018029	MMT00022878	0.124188845715238
MMT00018029	MMT00046920	0.160801298036843
MMT00018029	MMT00071535	0.110416450270381
MMT00018029	MMT00006408	0.1491361322309
MMT00018029	MMT00068222	0.177226406467108
MMT00018029	MMT00053523	0.144148872326646
MMT00018029	MMT00048501	0.181725081196654
MMT00018029	MMT00054501	0.147356815955235
MMT00018029	MMT00030469	0.169930236130871
MMT00018029	MMT00046250	0.173638510726243
MMT00018029	MMT00009011	0.122906059101221
MMT00018029	MMT00012566	0.187050464863134
MMT00018029	MMT00054225	0.109592949434505
MMT00080694	MMT00069316	0.277041017246541
MMT00080694	MMT00033789	0.0246073240890788
MMT00080694	MMT00015388	0.0300470545900464
MMT00080694	MMT00010990	0.299698638454455
MMT00080694	MMT00033197	0.0256949573775057
MMT00080694	MMT00078258	0.0259385485824028
MMT00080694	MMT00025137	0.214364618933025
MMT00080694	MMT00042937	0.20696150575459
MMT00080694	MMT00038227	0.30374259100374
MMT00080694	MMT00011008	0.242519067612048
MMT00080694	MMT00015576	0.301469518896138
MMT00080694	MMT00081543	0.0185480613372984
MMT00080694	MMT00060165	0.243117814171425
MMT00080694	MMT00081689	0.0125529131417875
MMT00080694	MMT00049837	0.184829369927261
MMT00080694	MMT00011386	0.188472302377087
MMT00080694	MMT00073393	0.242941513772212
MMT00080694	MMT00028683	0.014497643657294
MMT00022101	MMT00035545	0.146656382337052
MMT00022101	MMT00060232	0.169526163374955
MMT00022101	MMT00009506	0.110494757356508
MMT00022101	MMT00022878	0.129095575306144
MMT00022101	MMT00046920	0.158639044775823
MMT00022101	MMT00071535	0.0892572331267177
MMT00022101	MMT00006408	0.135857628752163
MMT00022101	MMT00068222	0.145792811793161
MMT00022101	MMT00053523	0.127708139909391
MMT00022101	MMT00048501	0.155778683387133
MMT00022101	MMT00054501	0.11991093884323
MMT00022101	MMT00030469	0.144018103330358
MMT00022101	MMT00046250	0.147001490389363
MMT00022101	MMT00009011	0.125258841677347
MMT00022101	MMT00012566	0.168080799429735
MMT00022101	MMT00054225	0.114490584700269
MMT00035545	MMT00060232	0.148414892966712
MMT00035545	MMT00009506	0.0934274109798731
MMT00035545	MMT00022878	0.10857282035432
MMT00035545	MMT00046920	0.136471804477705
MMT00035545	MMT00071535	0.0719257639327493
MMT00035545	MMT00006408	0.10518585658197
MMT00035545	MMT00068222	0.104777393286897
MMT00035545	MMT00053523	0.0945470642557377
MMT00035545	MMT00048501	0.113225680065993
MMT00035545	MMT00054501	0.089219958888848
MMT00035545	MMT00030469	0.10032073260833
MMT00035545	MMT00046250	0.113379368923215
MMT00035545	MMT00009011	0.11431385565756
MMT00035545	MMT00012566	0.118593670550529
MMT00035545	MMT00054225	0.0913758410979314
MMT00060232	MMT00009506	0.134891632149619
MMT00060232	MMT00022878	0.135010660824469
MMT00060232	MMT00046920	0.172210296139051
MMT00060232	MMT00071535	0.108368656637418
MMT00060232	MMT00006408	0.137319516975978
MMT00060232	MMT00068222	0.1300180268174
MMT00060232	MMT00053523	0.130396472467541
MMT00060232	MMT00048501	0.154349673295622
MMT00060232	MMT00054501	0.127665806905827
MMT00060232	MMT00030469	0.144132509872774
MMT00060232	MMT00046250	0.134593720300083
MMT00060232	MMT00009011	0.130681885861558
MMT00060232	MMT00012566	0.150959441978204
MMT00060232	MMT00054225	0.0988788369675218
MMT00009506	MMT00022878	0.103343059639247
MMT00009506	MMT00046920	0.109140846246164
MMT00009506	MMT00071535	0.104587266041884
MMT00009506	MMT00006408	0.131205539647038
MMT00009506	MMT00068222	0.118943969315071
MMT00009506	MMT00053523	0.122933767310289
MMT00009506	MMT00048501	0.0953994233888031
MMT00009506	MMT00054501	0.111693647687392
MMT00009506	MMT00030469	0.119580147657279
MMT00009506	MMT00046250	0.114722339468745
MMT00009506	MMT00009011	0.10392322082582
MMT00009506	MMT00012566	0.108847991763272
MMT00009506	MMT00054225	0.100920552456166
MMT00022878	MMT00046920	0.131397948274733
MMT00022878	MMT00071535	0.080552918543588
MMT00022878	MMT00006408	0.101441007639663
MMT00022878	MMT00068222	0.0987992655350194
MMT00022878	MMT00053523	0.10235329614088
MMT00022878	MMT00048501	0.130420996496484
MMT00022878	MMT00054501	0.0988338736153351
MMT00022878	MMT00030469	0.116443887695508
MMT00022878	MMT00046250	0.0989301996993686
MMT00022878	MMT00009011	0.097828836517332
MMT00022878	MMT00012566	0.122985449475946
MMT00022878	MMT00054225	0.0965210249383287
MMT00046920	MMT00071535	0.0822037566354701
MMT00046920	MMT00006408	0.115862732333694
MMT00046920	MMT00068222	0.11715646449871
MMT00046920	MMT00053523	0.10771944164733
MMT00046920	MMT00048501	0.14111785331717
MMT00046920	MMT00054501	0.106392574933786
MMT00046920	MMT00030469	0.124347284087036
MMT00046920	MMT00046250	0.121327159840308
MMT00046920	MMT00009011	0.115991760134478
MMT00046920	MMT00012566	0.139852541709275
MMT00046920	MMT00054225	0.10505060902747
MMT00028649	MMT00020843	0.140271691611187
MMT00028649	MMT00013815	0.153742843722743
MMT00028649	MMT00005744	0.178897997492492
MMT00028649	MMT00048205	0.154347237574353
MMT00028649	MMT00018639	0.162782042794827
MMT00028649	MMT00037437	0.151335555347298
MMT00028649	MMT00023212	0.126404069085061
MMT00028649	MMT00082034	0.143216344865876
MMT00028649	MMT00050033	0.162030241366073
MMT00028649	MMT00066585	0.15531541842094
MMT00028649	MMT00000550	0.162653367104352
MMT00028649	MMT00071599	0.144287203834235
MMT00028649	MMT00029361	0.147147758407799
MMT00028649	MMT00007440	0.143112555012761
MMT00028649	MMT00080717	0.152788630560921
MMT00028649	MMT00074309	0.148399248126025
MMT00028649	MMT00023638	0.135622504374939
MMT00028649	MMT00004142	0.150554825640702
MMT00028649	MMT00022622	0.14474248480902
MMT00069316	MMT00033789	0.03209916319056
MMT00069316	MMT00015388	0.0373834843252112
MMT00069316	MMT00010990	0.260644426355666
MMT00069316	MMT00033197	0.0329263060065162
MMT00069316	MMT00078258	0.0333693527553189
MMT00069316	MMT00025137	0.19208906860424
MMT00069316	MMT00042937	0.196532103154298
MMT00069316	MMT00038227	0.267293457000024
MMT00069316	MMT00011008	0.228065027309525
MMT00069316	MMT00015576	0.264868772612303
MMT00069316	MMT00081543	0.0252871398774302
MMT00069316	MMT00060165	0.215109231210148
MMT00069316	MMT00081689	0.0143626333062869
MMT00069316	MMT00049837	0.168813060332252
MMT00069316	MMT00011386	0.173836485993731
MMT00069316	MMT00073393	0.226902497805485
MMT00069316	MMT00028683	0.0177227903849599
MMT00071535	MMT00006408	0.154284039217468
MMT00071535	MMT00068222	0.134322821887416
MMT00071535	MMT00053523	0.153244010263113
MMT00071535	MMT00048501	0.0787717640357089
MMT00071535	MMT00054501	0.134455389359222
MMT00071535	MMT00030469	0.137288022578633
MMT00071535	MMT00046250	0.132830771149837
