Source	Target	Correlation
miR-18a-3p	ENST00000381482	0
miR-18a-3p	ehbio_trans.530.3	0
ENST00000381482	ehbio_trans.530.3	0.7803096442757159
miR-18a-3p	ENST00000381482	0
miR-18a-3p	ehbio_trans.573.1	0
ENST00000381482	ehbio_trans.573.1	0.7859085342693586
miR-18a-3p	ENST00000289431	0
miR-18a-3p	ehbio_trans.530.3	0
ENST00000289431	ehbio_trans.530.3	0.8574698684118095
miR-18a-3p	ENST00000289431	0
miR-18a-3p	ehbio_trans.573.1	0
ENST00000289431	ehbio_trans.573.1	0.7932521466379687
miR-17-5p	ENST00000331758	0
miR-17-5p	ehbio_trans.569.17	0
ENST00000331758	ehbio_trans.569.17	0.8604843457519769
miR-17-5p	ENST00000374810	0
miR-17-5p	ENST00000634509	0
ENST00000374810	ENST00000634509	0.9734575813045856
miR-17-5p	ENST00000379861	0
miR-17-5p	ehbio_trans.572.2	0
ENST00000379861	ehbio_trans.572.2	0.8384012164559467
miR-17-5p	ENST00000379861	0
miR-17-5p	ehbio_trans.636.2	0
ENST00000379861	ehbio_trans.636.2	0.8016867190078517
miR-17-5p	ENST00000217244	0
miR-17-5p	ehbio_trans.126.27	0
ENST00000217244	ehbio_trans.126.27	0.8450211888887181
miR-17-5p	ENST00000309060	0
miR-17-5p	ehbio_trans.636.2	0
ENST00000309060	ehbio_trans.636.2	0.8981872323922593
miR-17-5p	ENST00000360816	0
miR-17-5p	ehbio_trans.562.3	0
ENST00000360816	ehbio_trans.562.3	0.8634866779409509
miR-17-5p	ENST00000360816	0
miR-17-5p	ENST00000480961	0
ENST00000360816	ENST00000480961	0.8428147716903513
miR-17-5p	ENST00000246041	0
miR-17-5p	ENST00000634509	0
ENST00000246041	ENST00000634509	0.9097000364840944
miR-17-5p	ENST00000396825	0
miR-17-5p	ENST00000634509	0
ENST00000396825	ENST00000634509	0.8541835008961681
miR-17-5p	ENST00000262878	0
miR-17-5p	ehbio_trans.34.4	0
ENST00000262878	ehbio_trans.34.4	0.8027894147409517
miR-17-5p	ENST00000244043	0
miR-17-5p	ehbio_trans.562.3	0
ENST00000244043	ehbio_trans.562.3	0.8371843348510659
let-7b-5p	ENST00000278772	0
let-7b-5p	ehbio_trans.3.1	0
ENST00000278772	ehbio_trans.3.1	0.8375867537664091
let-7b-5p	ENST00000369888	0
let-7b-5p	ehbio_trans.275.7	0
ENST00000369888	ehbio_trans.275.7	0.8001113859133472
let-7e-5p	ENST00000340833	0
let-7e-5p	ehbio_trans.569.17	0
ENST00000340833	ehbio_trans.569.17	0.777690855095152
let-7f-5p	ENST00000217086	0
let-7f-5p	ehbio_trans.275.7	0
ENST00000217086	ehbio_trans.275.7	0.8854230176930675
let-7c-5p	ENST00000217086	0
let-7c-5p	ehbio_trans.275.7	0
ENST00000217086	ehbio_trans.275.7	0.8854230176930675
let-7c-5p	ENST00000217074	0
let-7c-5p	ENST00000595203	0
ENST00000217074	ENST00000595203	0.872597908249117
miR-17-3p	ENST00000360816	0
miR-17-3p	ehbio_trans.368.1	0
ENST00000360816	ehbio_trans.368.1	0.8866357055678933
miR-19b-3p	ENST00000262460	0
miR-19b-3p	ehbio_trans.585.7	0
ENST00000262460	ehbio_trans.585.7	0.8430277755155654
miR-15a-3p	ENST00000237536	0
miR-15a-3p	ehbio_trans.5.14	0
ENST00000237536	ehbio_trans.5.14	0.7789047593698403
