Gene	Class
ENST00000381482	Coding
ehbio_trans.530.3	lncRNA
ENST00000381482	Coding
ehbio_trans.573.1	lncRNA
ENST00000289431	Coding
ehbio_trans.530.3	lncRNA
ENST00000289431	Coding
ehbio_trans.573.1	lncRNA
ENST00000331758	Coding
ehbio_trans.569.17	lncRNA
ENST00000374810	Coding
ENST00000634509	lncRNA
ENST00000379861	Coding
ehbio_trans.572.2	lncRNA
ENST00000379861	Coding
ehbio_trans.636.2	lncRNA
ENST00000217244	Coding
ehbio_trans.126.27	lncRNA
ENST00000309060	Coding
ehbio_trans.636.2	lncRNA
ENST00000360816	Coding
ehbio_trans.562.3	lncRNA
ENST00000360816	Coding
ENST00000480961	lncRNA
ENST00000246041	Coding
ENST00000634509	lncRNA
ENST00000396825	Coding
ENST00000634509	lncRNA
ENST00000262878	Coding
ehbio_trans.34.4	lncRNA
ENST00000244043	Coding
ehbio_trans.562.3	lncRNA
ENST00000278772	Coding
ehbio_trans.3.1	lncRNA
ENST00000369888	Coding
ehbio_trans.275.7	lncRNA
ENST00000340833	Coding
ehbio_trans.569.17	lncRNA
ENST00000217086	Coding
ehbio_trans.275.7	lncRNA
ENST00000217086	Coding
ehbio_trans.275.7	lncRNA
ENST00000217074	Coding
ENST00000595203	lncRNA
ENST00000360816	Coding
ehbio_trans.368.1	lncRNA
ENST00000262460	Coding
ehbio_trans.585.7	lncRNA
ENST00000237536	Coding
ehbio_trans.5.14	lncRNA
